month,revenue,last_year_revenue,returns,receivables,last_year_receivables,inventory,last_year_inventory,inventory_turnover_days,gross_margin,store_count,last_year_store_count,rebate_expense,marketing_expense
2025-01,21500000,16600000,1620000,5100000,3180000,14800000,10200000,129,0.188,172,160,1180000,1320000
2025-02,22300000,17100000,1780000,5480000,3320000,15400000,10450000,131,0.184,174,160,1260000,1410000
2025-03,23800000,17900000,1900000,5760000,3510000,16300000,10900000,136,0.181,178,162,1360000,1590000
2025-04,24900000,18600000,2010000,6120000,3650000,17100000,11300000,141,0.176,182,163,1480000,1740000
2025-05,25700000,19100000,2140000,6450000,3790000,17900000,11800000,144,0.172,186,164,1560000,1880000
2025-06,26600000,19800000,2310000,6890000,3920000,18800000,12100000,149,0.169,189,165,1640000,2030000
2025-07,27400000,20400000,2390000,7250000,4060000,19600000,12400000,152,0.166,191,166,1710000,2190000
2025-08,28300000,20900000,2540000,7690000,4190000,20500000,12800000,155,0.164,193,167,1780000,2310000
2025-09,29100000,21400000,2680000,8080000,4320000,21200000,13100000,158,0.161,195,168,1860000,2460000
2025-10,30700000,22100000,2910000,8520000,4460000,22100000,13400000,161,0.158,196,169,1960000,2590000
2025-11,31600000,22800000,3010000,8970000,4620000,22800000,13700000,163,0.156,197,169,2050000,2720000
2025-12,33800000,24100000,3490000,9530000,4800000,24100000,14200000,168,0.153,198,170,2260000,2960000
